move,0
0,0.000783|3.153779|5.560532
1,9.379966|2.809124|5.733535
2,9.965894|3.386418|5.674427
3,9.354222|4.056459|5.368285
4,9.423455|3.747902|4.987592
5,8.577418|4.170889|4.581596
6,7.927138|4.507734|5.249909
7,7.535868|5.287267|5.985363
8,8.375166|4.825843|5.908701
9,7.398977|4.145830|5.987080
10,7.648037|4.389790|5.193497
11,7.212722|4.111428|5.142787
12,8.033470|4.239638|4.795558
13,8.684475|4.180416|5.102332
14,8.714847|4.247532|4.555540
15,9.408989|3.880227|5.009258
16,9.738885|3.608455|5.463457
17,0.237022|3.363943|6.018092
18,0.967369|3.694087|6.203392
19,1.178656|2.878249|7.156517
20,0.504495|1.968707|6.249579
21,1.384029|2.701550|5.630238
22,1.339314|3.516207|5.953128
23,2.022157|2.530349|6.428110
24,1.617105|1.806698|6.969746
25,1.618784|1.626297|7.258662
26,1.175130|2.030388|7.488948
27,1.944236|1.347742|6.996255
28,1.668727|0.938611|7.361198
29,2.440171|1.927768|6.869438
30,2.460476|1.054205|6.533335
31,2.380107|1.876476|5.798809
32,2.766453|1.706689|5.040425
33,3.124800|1.452769|4.348317
34,3.199199|2.019323|5.092564
35,2.860275|1.067437|5.525661
36,2.967490|2.037040|5.214657
37,3.782239|2.128717|5.180510
38,3.977590|1.969509|4.677496
39,3.586135|1.263708|3.932527
40,2.646127|1.755471|4.752333
41,1.842519|1.292997|4.038199
42,2.460437|1.091213|3.796145
43,2.501611|1.831026|3.146935
44,3.217905|2.457951|3.153637
45,3.168565|3.452771|3.908143
46,3.970737|3.364285|4.651876
47,3.933768|3.487207|4.760052
48,3.770164|2.662541|5.426154
49,4.540455|2.705069|5.724128
50,4.061071|2.926972|6.004738
51,3.646454|2.311966|6.999882
52,3.079135|2.337040|6.534126
53,3.607771|2.293876|5.595585
54,3.175274|1.358882|6.381869
55,3.015695|0.888831|5.415339
56,2.639466|0.095091|5.365074
57,2.883437|0.938564|6.078042
58,2.944584|1.245344|6.499313
59,3.050730|1.908408|6.201501
60,2.229621|1.954411|6.191983
61,1.534589|1.987332|5.825471
62,1.537101|1.165770|6.417319
63,0.656218|1.591017|6.634516
64,0.773089|0.942246|5.642390
65,0.427863|0.969595|5.887290
66,1.207481|0.463543|5.673896
67,1.295779|1.206453|4.718029
68,1.044294|1.992777|4.743423
69,0.324864|1.061456|4.032116
70,0.125637|1.592770|4.566449
71,9.438484|1.978045|4.161402
72,9.272802|1.108754|3.175809
73,8.772550|1.829377|2.557657
74,8.040996|2.133254|2.824112
75,8.681979|2.486835|3.602975
76,8.999632|1.819513|4.594070
77,8.783532|1.698479|5.394443
78,8.094172|2.485729|5.401392
79,7.387361|1.800378|5.321861
80,7.737996|1.594889|5.951943
81,6.968376|1.898050|5.084941
82,6.578141|1.970140|6.067274
83,5.595721|0.982041|5.394282
84,4.979273|0.528740|5.861322
85,5.590512|1.178625|5.215796
86,4.768925|0.907023|4.321034
87,5.403677|1.797999|3.895193
88,4.680720|1.389435|4.175290
89,5.457185|2.010651|3.446226
90,6.254257|1.961553|3.489419
91,6.934958|2.804932|3.873714
92,6.384154|3.482236|4.411031
93,5.610478|4.361586|5.054148
94,5.491563|5.026302|5.890625
95,6.454437|4.755400|5.285147
96,6.021532|5.293008|4.305349
97,6.164905|6.051748|4.459973
98,5.553118|5.084495|4.131957
99,6.448514|6.004641|3.826305
